pmid,title,abstract,pub_year,journal,toxicant,organs,health_effects,products,ingredients,inference,relevant,relevance_reason
32051947,Critical illness and multi-organ failure following topical application of skin-lightening preparation.,Topical application of skin-lightening cream is increasingly undertaken in many non-Caucasian populations for cultural and social reasons. It is a rare cause of poisoning that has potential to lead to significant harm due to skin damage and systemic absorption of cream following application over prolonged periods of time. This case report describes for the development of multi-organ failure in an adult due to salicylate toxicity after whole-body application of a skin-lightening cream for 24 h. It highlights the need for vigilance and awareness of the toxic potential of topical salicylates.,2019,Anaesthesia reports,hydroquinone,skin,unspecified,unspecified,unspecified,skin/topical study,,
32043201,Prussian blue-doped nanosized polyaniline for electrochemical detection of benzenediol isomers.,"Simultaneous speciation of benzenediol isomers (BDIs), 1,2-benzenediol (catechol, CC), 1,3-benzenediol (resorcinol, RS), and 1,4-benzenediol (hydroquinone, HQ), was investigated by differential pulse voltammetry (DPV) using a graphite paste electrode (GPE) modified with Prussian blue-polyaniline nanocomposite. The modified GPE showed good stability, sensitivity, and selectivity properties for all the three BDIs. Prussian blue-doped nanosized polyaniline (PBNS-PANI) was synthesized first by using mechanochemical reactions between aniline and ferric chloride hexahydrate as the oxidants and then followed by the addition of potassium hexacyanoferrate(II) in a solid-state and template-free technique. The material was characterized by scanning electron microscopy, transmission electron microscopy, Fourier transform infrared spectroscopy (FT-IR), and X-ray photoelectron spectroscopy (XPS). The DPV measurements are performed in phosphate electrolyte solution with pH 4.0 at a potential range of - 0.1 to 1.0 V. The proposed modified electrode displayed a strong, stable, and continuous three well-separated oxidation peaks towards electrooxidation at potentials 0.20, 0.31, and 0.76 V for HQ, CC, and RS, respectively. The calibration curves were linear from 1 to 350.5 μM for both HQ and CC, while for RS, it was from 2 to 350.5 μM. The limit of detection was determined to be 0.18, 0.01, and 0.02 μM for HQ, CC, and RS, respectively. The analytical performance of the PBNS-PANI/GPE has been evaluated for simultaneous determination of HQ, CC, and RS in creek water, commercial hair dye, and skin whitening cream samples with satisfactory recoveries between 90 and 106%. Overall, we demonstrated that the presence of NS-PANI and PB resulted in a large redox-active surface area that enabled a promising analytical platform for simultaneous detection of BDIs. Graphical abstract.",2020,Analytical and bioanalytical chemistry,hydroquinone,skin,unspecified,hair dye,unspecified,hair product study | skin/topical study | industrial/occupational,,
31983845,Evaluation of surgical scalpel versus semiconductor diode laser techniques in the management of gingival melanin hyperpigmentation: A split-mouth randomized clinical comparative study.,"""Black gums"" due to melanin pigmentation of the gingiva is one reason for the demand of cosmetic therapy. Clinicians are often faced with challenge to achieve gingival esthetics in such cases because of its recurrence. Although many procedures were described in literature for gingival depigmentation, only few are mentioning about the intensity of repigmentation. Hence, this study was designed to compare two different techniques for treatment of gingival melanin pigmentation. Twenty patients who were not esthetically pleased with the color of gingiva were selected. A randomized, split-mouth, depigmentation procedure was performed using surgical scalpel and diode laser techniques. Clinical parameters such as plaque and gingival index, bleeding, pain perception, wound healing, recurrence, and intensity of repigmentation were evaluated. Paired <i>t</i>-test and Chi-square test were used for analysis of data. No bleeding was reported in patients treated with diode laser. Moderate pain was reported by patients treated with surgical scalpel, whereas none was reported in diode laser group. No statistically significant difference was observed for both treatment techniques in terms of wound healing, reappearance of gingival pigmentation, and intensity of the same at the end of 6 and 9 months postsurgically. Similar outcomes were observed for both the techniques. Few patients who resulted in no recurrence at 9 months were followed even up to 3 years. Hence, further studies should be done to know the underlying mechanisms. Keeping in mind of armamentarium and cost, surgical scalpel technique remained as the ""gold standard"" procedure for treatment of gingival melanin pigmentation.",2020,Journal of Indian Society of Periodontology,hydroquinone,unspecified,unspecified,unspecified,unspecified,cosmetics product study | clinical/hospital study,no,"This paper is about treating gingival melanin hyperpigmentation with surgical scalpel and laser techniques, which is unrelated to the health effects of chemical toxicants in cosmetic products."
31916515,Lactic Acid Bacteria and Lactic Acid for Skin Health and Melanogenesis Inhibition.,"Lactic acid bacteria are beneficial to human health. Lactic acid bacteria have wide applications in food, cosmetic and medicine industries due to being Generally Recognized As Safe (GRAS) and a multitude of therapeutic and functional properties. Previous studies have reported the beneficial effects of lactic acid bacteria, their extracts or ferments on skin health, including improvements in skin conditions and the prevention of skin diseases. Lipoteichoic acid isolated from Lactobacillus plantarum was reported to inhibit melanogenesis in B16F10 melanoma cells. In particular, lipoteichoic acid also exerted anti-photoaging effects on human skin cells by regulating the expression of matrix metalloproteinase- 1. The oral administration of Lactobacillus delbrueckii and other lactic acid bacteria has been reported to inhibit the development of atopic diseases. Additionally, the clinical and histologic evidence indicates that the topical application of lactic acid is effective for depigmentation and improving the surface roughness and mild wrinkling of the skin caused by environmental photo-damage. This review discusses recent findings on the effects of lactic acid bacteria on skin health and their specific applications in skin-whitening cosmetics.",2020,Current pharmaceutical biotechnology,hydroquinone,skin,unspecified,unspecified,lactic acid,cosmetics product study | skin/topical study | clinical/hospital study,yes,"This paper discusses the beneficial effects of lactic acid bacteria on skin health, including melanogenesis inhibition, which is relevant to the health effects of chemical toxicants in cosmetic products."
31911770,Squamous Cell Carcinoma Associated with Cosmetic Use of Bleaching Agents: About a Case in Ivory Coast.,"Voluntary skin depigmentation is defined as a set of procedures for obtaining skin clarification for cosmetic purposes. Skin cancers are possible complications, but rarely reported. We describe a case observed in Ivory Coast. A 52-year-old Ivorian woman consulted the Dermatology Department of the University Hospital of Treichville, Abidjan for an ulceration of the middle third of the right clavicle evolving for 10 months. A diagnosis of squamous cell carcinoma (SCC) was confirmed by histological examination of the tumour biopsy. Retroviral serology (HIV) was negative. An excision of the tumour was performed. The postoperative consequences were simple. We report a case of SCC following long-term use of depigmenting cosmetic products in a female phototype VI. SCC is the most common skin cancer among black Africans. It is secondary to precancerous lesions or takes place on a damaged skin. Concerning our patient, the onset of this carcinoma could be associated with the carcinogenic effect of hydroquinone and topical corticoids used for a long time. In addition, no precancerous lesion or preexisting condition were found. The chronic evolution without healing was in favour of a neoplastic origin achieved through the analysis of the biopsy sample.",2019,Case reports in dermatology,hydroquinone,skin,carcinogenicity,unspecified,unspecified,cosmetics product study | skin/topical study | clinical/hospital study,yes,"This paper reports a case of squamous cell carcinoma associated with the cosmetic use of bleaching agents, highlighting a potential health risk of chemical toxicants in cosmetic products."
31858658,"Efficacy and tolerability on melasma of a topical cosmetic product acting on melanocytes, fibroblasts and endothelial cells: a randomized comparative trial against 4% hydroquinone.","Recent data demonstrated that an altered basal membrane, activated melanocytes and secreted factors from keratinocytes but also fibroblasts and endothelial cells are involved in the pathophysiology of melasma. To evaluate the efficacy and tolerability on melasma of a new topical skin-lightening cosmetic product combination (CCP) targeting several factors identified to be involved in melasma pathogenesis compared to 4% hydroquinone (HQ). Forty-three women with melasma were enrolled in a 12-week double-blind, randomized, parallel-group trial and treated with CCP or 4% HQ cream. Efficacy was evaluated with the modified Melasma Area Severity Index (mMASI) score and colorimetric change. Cutaneous tolerability and patient satisfaction were also investigated. The mMASI score decreased for both products from baseline and over the study period. At week 12, 90% of the subjects who received the combination products had an improvement in pigmentation vs. 79% with HQ. Similarly, both products significantly increased Individual Typological Angle parameters. For both measures, no statistically significant difference was observed between CCP and HQ in terms of change from baseline. CPP was very well tolerated. Cosmetic product combination is as effective as HQ in the management of facial dyspigmentation and represents a safe alternative.",2020,Journal of the European Academy of Dermatology and Venereology : JEADV,hydroquinone,skin,unspecified,unspecified,unspecified,cosmetics product study | skin/topical study | clinical/hospital study,yes,"This paper evaluates the efficacy and tolerability of a topical cosmetic product containing a combination of ingredients that target melanocytes, fibroblasts, and endothelial cells, which is relevant to the health effects of chemical toxicants in cosmetic products."
31856147,"Notes from the Field: Methylmercury Toxicity from a Skin Lightening Cream Obtained from Mexico - California, 2019.",,2019,MMWR. Morbidity and mortality weekly report,hydroquinone,skin,unspecified,unspecified,unspecified,skin/topical study,yes,"This paper reports a case of methylmercury toxicity from a skin lightening cream, which is a specific example of a chemical toxicant in a cosmetic product causing harm to human health."
31844780,Application and optimization of ultrasound-assisted deep eutectic solvent for the extraction of new skin-lightening cosmetic materials from <i>Ixora javanica</i> flower.,"The high demand for cosmetics has had a great impact on the development of innovative products in the cosmetic industry. The availability of raw materials has become a common problem in the cosmetic industry. Materials from nature can act as alternative sources, such as <i>Ixora javanica</i>. Several studies have shown the potential of <i>I. javanica</i> as an antioxidant and skin lightening agent. The objectives of the present study were to develop and optimize a green ultrasound-assisted deep eutectic solvent extraction of <i>I. javanica</i>. Eleven deep eutectic solvents were evaluated based on extraction efficiency parameters; that is, flavonoid and anthocyanin yields; the antioxidant and tyrosinase inhibitory activities of the extracts. The combination of choline chloride and propylene glycol (1:1) was shown to be the optimal deep eutectic solvent for <i>I. javanica</i> extraction. The extraction parameters of temperature, extraction time, and solid-to-liquid ratio were also optimized using response surface methodology. The total flavonoid compound obtained was 33 mg quercetin equivalent/g dried sample under the optimum extraction condition (extraction time of 5 min, temperature of 57 °C, solid-to-liquid ratio of 0.02 g/mL). In sum, this work demonstrates the potential of natural deep eutectic solvent as an organic solvent replacement to obtain high quality <i>Ixora javanica</i> extract, which is a potential new source of skin-lightening cosmetic materials.",2019,Heliyon,hydroquinone,skin,oxidative stress,unspecified,propylene glycol,cosmetics product study,,
31815243,Nano-Bioconjugate Film from <i>Aloe vera</i> To Detect Hazardous Chemicals Used in Cosmetics.,"It is of utmost importance to detect hazardous chemicals that affect human health. In this work, a simple method has been developed using a traditional medicinal herb <i>Aloe vera</i> as a carbon source to fabricate a nano-bioconjugate film. The nano-bioconjugate system comprises of <i>A. vera</i> gel itself and sodium alginate to form a fluorescent nano-bioconjugate film. The film was successfully used as an optical ""turn-off"" sensor in detecting analytes viz. <i>para</i>-Aminobenzoic acid (PABA), benzophenone, hydroquinone, and propylparaben, which are used in cosmetics and are listed as ""red-listed"" chemicals. The applicability of the fluorescent film in detecting these hazardous chemicals was even assessed with some locally purchased cosmetic samples. Mechanistic insight into the fluorescent quenching shown by nano-bioconjugate film is also discussed. Developments of such a detection system from sustainable sources make it an interesting option for fabricating sensors for hazardous chemicals.",2019,ACS omega,hydroquinone,unspecified,unspecified,unspecified,aloe vera,cosmetics product study,,
31802394,Melasma Treatment: An Evidence-Based Review.,"Melasma is an acquired, chronic pigmentary disorder predominantly affecting women. It may significantly affect quality of life and self-esteem due to its disfiguring appearance. Multiple treatments for melasma are available, with mixed results. The aim of this article was to conduct an evidence-based review of all available interventions for melasma. A systematic literature search of the PubMed electronic database was performed using the keywords 'melasma' and/or 'chloasma' in the title, through October 2018. The search was then limited to 'randomized controlled trial' and 'controlled clinical trial' in English-language journals. The Cochrane database was also searched for systematic reviews. The electronic search yielded a total of 212 citations. Overall, 113 studies met the inclusion criteria and were included in this review, with a total of 6897 participants. Interventions included topical agents, chemical peels, laser- and light-based devices, and oral agents. Triple combination cream (hydroquinone, tretinoin, and corticosteroid) remains the most effective treatment for melasma, as well as hydroquinone alone. Chemical peels and laser- and light-based devices have mixed results. Oral tranexamic acid is a promising new treatment for moderate and severe recurrent melasma. Adverse events from all treatments tend to be mild, and mainly consist of skin irritation, dryness, burning, erythema, and post-inflammatory hyperpigmentation. Hydroquinone monotherapy and triple combination cream are the most effective and well-studied treatments for melasma, whereas chemical peels and laser- and light-based therapies are equal or inferior to topicals, but offer a higher risk of adverse effects. Oral tranexamic acid may be a safe, systemic adjunctive treatment for melasma, but more studies are needed to determine its long-term safety and efficacy. Limitations of the current evidence are heterogeneity of study design, small sample size, and lack of long-term follow-up, highlighting the need for larger, more rigorous studies in the treatment of this recalcitrant disorder.",2020,American journal of clinical dermatology,hydroquinone,skin,unspecified,unspecified,retinol,skin/topical study | clinical/hospital study,,
31776642,Quantification of low-content encapsulated active cosmetic ingredients in complex semi-solid formulations by means of attenuated total reflectance-infrared spectroscopy.,"Attenuated total reflectance-infrared (ATR-IR) spectroscopy is a robust tool for molecular characterisation of matter. Applied to semi-solid formulations, it enables rapid and reliable data collection without pre-analytical requirements. Based on nano-encapsulated Omegalight®, a skin-lightening active cosmetic ingredient (ACI), incorporated in a hydrogel, it is first demonstrated that, despite the high water content and the chemical complexity of the samples (i.e. number of ingredients), the spectral features of the ACI can be detected and monitored. Secondly, with a total of 105 samples divided into a training set (n = 60) and an unknown set (n = 45) covering a 0.5% w/w-5% w/w concentration range, the study further investigates the quantitative performance of ATR-IR coupled with partial least squares regression (PLSR). Through a step-by-step approach in testing different cross-validation protocols, accuracy (root mean square error of cross-validation (RMSECV)) and linearity between the experimental and predicted concentrations (R<sup>2</sup>) of ATR-IR are consistently evaluated to be respectively 0.097% (w/w) and 0.995 with a lower LOD = 0.067% (w/w). Subsequently, further evaluation of the accuracy (relative error of the predicted concentration compared with the true value, expressed as %) of the analysis was undertaken with the 45 unknown samples that were defined as unknown and analysed by PLSR. The outcome of the analysis demonstrates the ruggedness and the consistency of the determination performed using the ATR-IR data. With an average relative error of 2.5% w/w and only 5 samples out of 45 blind samples exhibiting a relative error above the 5% threshold, high accuracy quantification of the nano-encapsulated ACI can be unambiguously achieved by means of the label-free and non-destructive technique of ATR-IR spectroscopy. Ultimately, the study demonstrates that the analytical capabilities of ATR-IR hold significant potential for applications in the cosmetics industry, and although the path remains long, the present study is one step further to support validation of the technique, albeit for the specific case of Omegalight®.",2020,Analytical and bioanalytical chemistry,hydroquinone,skin,unspecified,unspecified,unspecified,cosmetics product study,,
31753365,"Multifunctional green synthetized gold nanoparticles/chitosan/ellagic acid self-assembly: Antioxidant, sun filter and tyrosinase-inhibitor properties.","This paper accounts the first example about the development of a self-assembled supramolecular system based on the use of green-synthetized gold nanoparticles (AuNPs) and chitosan (CH), for solubilizing ellagic acid (EA) in water. AuNPs were synthetized by using Punica granatum Juice (PGJ) and, after their synthesis, in order to adsorb ellagic acid on the nanoparticles surface (AuNPs/CH/EA), the chitosan wrapping was performed (AuNPs/CH). For this purpose, chitosan having high viscosity, low and medium molecular weights were used and compared to check the best condition of work. The stability of the proposed system, before and after the addition of ellagic acid, under different conditions of work, i.e. solution pH, temperature and light irradiation were investigated demonstrating the stability of the proposed functional ingredient. The supramolecular system exhibited wide ranging properties such as antioxidant, skin lightening and sunscreen. More specifically, the % of antioxidant activity occurred around 80% and 60% from the DPPH and ABTS assays respectively; the tyrosinase inhibition was around of 50% and the Sun Protection Factor was found to be 20. Thanks to the multi-properties of the proposed functional ingredient it should exhibit several advantageous in cosmetic applications. The ingredient could be a valid alternative to the traditional nanostructured TiO<sub>2</sub> and ZnO offering the possibility to have at the same time several properties due to the use of AuNPs (having light absorption and scattering ability, are biocompatible showing low toxicity) and EA. If these positive aspects are associated with the use of an eco-friendly and low-cost protocol for AuNPs synthesis, according to the Green Chemistry principles, a great interesting space is opened towards the study of PGJ-based AuNPs, as multifunctional platform in cosmetic.",2020,"Materials science & engineering. C, Materials for biological applications",hydroquinone,skin,oxidative stress,sunscreen,unspecified,cosmetics product study | sunscreen/UV filter study,,
31746537,Effectiveness of a new cosmetic treatment for melasma.,"Melasma treatment is difficult due to extended treatment periods, suboptimal adherence, inconsistent results, and frequent relapses. Kojic acid has been shown to be effective in reducing melasma severity and is now increasingly used in cosmetic treatments. The purpose of the present study was to evaluate the effectiveness of a new cosmetic treatment for melasma at 45 and 90 days. Multicenter prospective study across 20 dermatology clinics/ambulatories. One hundred patients with mild-to-moderate melasma were evaluated. The primary endpoints were changes in mean modified melasma area and severity index (mMASI) score and patient-reported satisfaction at 45 and 90 days. The mean age of patients was 45.19 ± 11.5 years. Most patients were female and Caucasian. Patients presented mixed (65%), epidermal (26%), and dermal (4%) types of melasma. Triggering factors were hormonal contraception (33%), pregnancy (31%), and pharmacological treatment (11%); mean disease duration was 6.7 ± 6.8 years. Overall, a statistically significant decrease in mean mMASI scores was seen at 45 (2.19 ± 0.182 vs 3.29 ± 0.267, P < .0001) and 90 days (1.27 ± 0.128 vs 3.29 ± 0.267, P < .00001). The highest reduction in mMASI scores was observed in patients with dermal melasma. IGA scores showed a statistically significant improvement in pigmentation at 90 days (P < .00001). The novel cosmetic treatment was associated with the improvement of melasma, as assessed by mMASI.",2020,Journal of cosmetic dermatology,hydroquinone,skin,unspecified,unspecified,kojic acid,cosmetics product study | clinical/hospital study,,
31700980,Skin-lightening patterns among female students: A cross-sectional study in Saudi Arabia.,"Skin-lightening products (SLPs) are commonly used worldwide, and their improper use and overuse is becoming a burden on health care workers, including dermatologists. This study aimed to determine the characteristics, determinants, preferences, and side effects of the use of SLPs among Saudi female students and their association with mental health. A cross-sectional analytic study, using a self-administered prevalidated questionnaire, was conducted among female students in the Aljouf region of Saudi Arabia. We used the consecutive nonprobability sampling technique to recruit participants. The questionnaire contained demographic data, two questions about knowledge of SLPs, eight questions regarding perceptions of fair skin, and three proxy scales for mental health (depression, posttraumatic stress disorder, and Internet addiction). The mean age of the participants (± standard deviation) was 29 ± 9.6 years. Of the 760 responders, 427 (56.2%) used SLPs; all were women with relatively light skin (types III-V). There was a unanimous positive perception of lighter skin tone among women. The participants used skin-lighteners for cosmetic and medical conditions (67.2% and 17.5%, respectively). The practice was significantly associated with poor mental health status, poor level of knowledge, and lower sociodemographic status (<i>p</i> < .05). The use of SLPs is highly prevalent among Saudi female students. Users believe that fairer skin is associated with beauty and social advantage. Female students with a lower economic status and poor mental health are more prone to overuse SLPs. A need exists for targeted public health campaigns to raise public awareness about uncontrolled skin lightener usage.",2019,International journal of women's dermatology,hydroquinone,skin,unspecified,unspecified,unspecified,cosmetics product study | epidemiological study | industrial/occupational,,
31619890,"Follicular Unit ""Exploitation"": Follicular Unit Extraction Followed by Laser Hair Reduction-A Novel Approach to Repigmentation of Postburn Leukodermic Scars.","Correction of depigmentation of postburn leukodermic scars is daunting. In contrast to vitiligo, the success rate of skin grafting techniques is much lower in postburn scars owing to altered skin architecture and poor graft uptake. Cellular transfer techniques such as noncultured epidermal or epidermal or keratinocyte suspension suffer the limitations of modest efficacy and high procedural cost. Follicular transplantation by the follicular unit extraction technique is being extensively used in vitiligo. Recently, it has been reported for the correction of scar alopecia. Although this approach is expected to significantly repigment pliant scars, the cosmetic unacceptability of the retained hairs may warrant removal. We describe an innovative three-step protocol to provide a repigmented smooth scar. We vernacularly labeled this technique follicular unit ""exploitation,"" as the follicular units ""exploited"" positively for repigmentation were later removed by laser hair reduction.",2019,Journal of cutaneous and aesthetic surgery,hydroquinone,skin,unspecified,unspecified,unspecified,cosmetics product study,,
31502392,Topical metformin in the treatment of melasma: A preliminary clinical trial.,"Melasma is a common acquired pigmentary disorder characterized by symmetric hyperpigmented macules on the face. Triple combination cream (TCC) remains the gold standard treatment but its prolonged use often causes adverse effects. Recently, studies have shown that topical metformin has melanopenic action. To evaluate the safety and efficacy of topical metformin in the treatment of melasma and to compare its efficacy with TCC (hydroquinone 2% + tretinoin 0.025% + fluocinolone acetonide 0.01%). This was a randomized controlled study conducted on 40 patients with melasma aged more than 18 years. Patients in group 1 (n = 20) were treated with 30% metformin lotion, whereas group 2 patients (n = 20) were treated with TCC for 8 weeks. Pigmentation was assessed using Melasma Area and Severity Index (MASI) at baseline and after 8 weeks. Outcome measures included global improvement scale (grades 1-4) and patient satisfaction. Safety was assessed according to adverse events and patch testing. All 40 patients completed the study. Out of 20 patients in group 1, 11 showed grade 1 improvement (1% to <25%) and grade 2 (25%-50%) and grade 3 (>50%-75%) improvements were seen in one patient each. In group 2, grades 1, 2, 3, and 4 improvements were seen in 14, 2, 1, and 1 patients, respectively. However, the difference was not statistically significant. Adverse events were noted in three patients in group 2 and none in group 1. Topical metformin is a novel, safe, and almost as effective modality as TCC to treat melasma.",2020,Journal of cosmetic dermatology,hydroquinone,unspecified,skin sensitization,unspecified,retinol,skin/topical study | clinical/hospital study,,
31494973,Prospective randomized controlled trial comparing treatment efficacy and tolerance of picosecond alexandrite laser with a diffractive lens array and triple combination cream in female asian patients with melasma.,"Recent evidence suggests melasma to be a photoaging disorder. Triple combination creams (TCC: fluocinolone acetonide 0.01%, hydroquinone 4% and tretinoin 0.05%) remain the gold standard treatment. Picosecond alexandrite laser treatment using a diffractive lens array (DLA) has been identified to be effective for improving photoaging conditions. We aimed to compare the efficacy and tolerance of the picosecond alexandrite laser with those of DLA and TCC in female Asian patients with melasma. Twenty-nine patients were randomly assigned to group A1 (3 laser sessions at 4-week intervals), A2 (5 laser sessions at 4-week intervals) or B (TCC daily for at least 8 weeks and then tapered until the final evaluation). The Melasma Area, Severity Index (MASI) score and VISIA were assessed at baseline, week 12 and week 20. By week 20, the follow-up periods for groups A1 and A2 were 3 months and 1 month, respectively. Nine, 11 and 6 participants in groups A1, A2 and B completed the study, respectively. MASI scores were significantly improved in all 3 groups at weeks 12 and 20. In groups A1, A2 and B, the improvement rates at week 20 were 53%, 38% and 50%, respectively. VISIA<sup>®</sup> analysis additionally revealed a significant improvement in spots, porphyria, pores and brown spots after 3 laser sessions (P < 0.05). Group A2 showed greater improvements than group A1 in terms of spots, wrinkles and pores; however, only red areas were significantly different (P < 0.001). All side-effects in the 3 groups were transient and gradually subsided after 1-3 months. Picosecond alexandrite laser treatment using DLA showed comparable efficacy with TCC for the treatment of melasma. Improvements in texture, spots, wrinkles and pores were observed in the laser groups. Patients with melasma lesions that exhibit telangiectasia may benefit from additional laser treatment sessions.",2020,Journal of the European Academy of Dermatology and Venereology : JEADV,hydroquinone,unspecified,unspecified,unspecified,retinol,skin/topical study | clinical/hospital study,,
31455470,Effects of Commercially Available Whitening Creams on the Epidermal Thickness of Guinea Pig Skin.,"To determine the effects of commonly used commercial skin lightening creams on the thickness of epidermis of guinea pig skin. Animal experimental study. Department of Anatomy, King Edward Medical University, Lahore, from March to May 2015. Forty-eight adult, colored guinea pigs were used in this study. The animals were randomly divided into four groups. Group I was control group (no cream application). The animals of group II, III and IV were treated with skin whitening creams A, B and C respectively once daily, 6 days/week for eight weeks duration. The observations of skin specimens were made after 4 and 8 weeks for epidermal thickness at histological level. Microscopic examination showed variable degrees of epidermal thickening with the three creams applied for 4 weeks. The increase in thickness of epidermis ranged from 49.1 μm in control group to maximum of 106.4 μm in group ll. These effects were further intensified after 8 weeks application. The use of whitening creams caused skin damage by increasing the epidermal thickness of varying extent.",2019,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,hydroquinone,skin,unspecified,unspecified,unspecified,skin/topical study,,
31436375,Inhibition of melanin synthesis and melanosome transfer by chitosan biomaterials.,"Decreasing skin pigmentation is desirable for various medical or cosmetic conditions. Although numerous pharmaceutical agents are currently available, their depigmentation effects are still not satisfactory. In this study, we investigated the effects of chitosan, a natural marine product, on melanin synthesis and melanosome transfer. Treating B16F10 melanoma cells caused the inhibitory effect of chitosan on melanogenesis to be more prominent under α-melanocyte-stimulating hormone (α-MSH) stimulation. Chitosan samples of different molecular weights inhibited melanogenesis to a comparable extent, whereas increasing the deacetylation of chitosan enhanced its depigmentation effects. Chitosan was found to effectively reduce basal or α-MSH-stimulated melanogenesis by suppressing the expression of melanogenic-related proteins (microphthalmia transcription factor, tyrosinase, and tyrosinase-related protein-1 and protein-2) as well as inhibiting tyrosinase activity. Moreover, the inhibitory effect of chitosan on melanogenesis in human melanocytes was confirmed. A transwell coculture system using permeable inserts was designed to allow the contact of human melanocytes and human HaCaT keratinocytes through the tiny holes on the membrane. When chitosan was added to this melanocyte-keratinocyte coculture system, we observed decreased melanosome release from melanocytes. Reduced melanosome uptake by keratinocytes was also observed, and was probably mediated by inhibiting protease-activated receptor 2 expression. Many skin-whitening agents can modulate the process of melanogenesis, but few have been shown to inhibit the melanosome transfer and uptake process. We demonstrated that chitosan exhibits a robust effect on depigmentation by inhibiting melanogenesis as well as melanosome transfer and uptake. Therefore, chitosan represents a potential therapeutic agent for hyperpigmentation disorders.",2020,"Journal of biomedical materials research. Part B, Applied biomaterials",hydroquinone,skin,unspecified,unspecified,unspecified,cosmetics product study | clinical/hospital study | industrial/occupational,,
31354327,"Evaluation of the safety and efficacy of a triple combination cream (hydroquinone, tretinoin, and fluocinolone) for treatment of melasma in Middle Eastern skin.","<b>Background:</b> Melasma is the most common pigmentary skin disorder, especially in females and those with darker complexion. The current study evaluated the safety and efficacy of a triple combination cream containing hydroquinone 4%+tretinoin 0.05%+fluocinolone acetonide 0.01% (Januluma<sup>®</sup> cream produced by Janus Pharmaceutical Co, Tehran, Iran) in the treatment of melasma. <b>Patients and methods:</b> Twenty-two female volunteers (mean±standard deviation of age: 39.20±4.16 years) who fulfilled the eligibility criteria participated in this study after signing the informed consent. They were requested to apply the Januluma<sup>®</sup>cream every night for 8 weeks. Modified melasma area and severity index (mMASI), skin lightness (L value), and severity of pigmentation (E value) by Visio Face, and skin biophysical parameters including pH, melanin index, erythema index, sebum, hydration, trans epidermal water loss, thickness and density of epidermis, and dermis (using 22 MHz ultrasonography) were measured before and 4 and 8 weeks after treatment. Also patients' satisfaction was assessed 4 and 8 weeks after treatment using visual analog score. <b>Results:</b> mMASI decreased significantly from 3.37 to 2.60 at week 4, and to 2.40 at week 8 (<i>P</i>-values=0.00 and 0.01, respectively). Also, E and L values improved significantly after 8 weeks of treatment (<i>P</i>=0.01 and 0.00, respectively). Skin melanin index decreased from 237.49 AU to 196.30 AU at week 8 (<i>P</i>=0.01). Also echo density of dermis increased significantly after 8 weeks of treatment (<i>P</i>=0.029). Almost all participants experienced some degrees of pruritus, scaling, and erythema, esspecially during the first month of application, which were generally mild and tolerable. The mean satisfaction of patients with the treatment was 6.77. <b>Conclusion:</b> The triple combination formula was reasonably safe and effective for treatment of melasma in Middle Eastern patients.",2019,"Clinical, cosmetic and investigational dermatology",hydroquinone,skin,unspecified,unspecified,retinol,skin/topical study | clinical/hospital study,,
31320976,"Evaluating the Efficacy, Safety, and Tolerability of the Combination of Tazarotene, Azelaic Acid, Tacrolimus, and Zinc Oxide for the Treatment of Melasma: A Pilot Study.","<b>Background:</b> Melasma is a common hyperpigmentation disorder of the skin. Combination therapy of topical retinoids, corticosteroids, and hydroquinone has been effective in treating melasma, but long-term use is limited by corticosteroid atrophy and exogenous ochronosis. The aim of this pilot study (NCT02730819) was to determine the efficacy, safety, and tolerability of a novel composition (2013-MCN-333) comprising tazarotene 0.075%, azelaic acid 20%, tacrolimus 0.1%, and (microfine) zinc oxide 10% for the treatment of melasma. <b>Methods:</b> Sixteen patients with moderate-to-severe melasma were treated daily with sunscreen and 2013-MCN-333 for 20 weeks. Primary outcome measure was change in Melasma Area and Severity Index (MASI) score. <b>Results:</b> Twenty-five percent of patients met the primary endpoint of a MASI score of less than eight points at Week 20. MASI score also decreased significantly from baseline (median: 18.9 points) through Week 4 (median: 17.3 points; <i>p</i>=0.006), Week 12 (median: 16.0 points; <i>p</i>=0.001), and Week 20 (median: 13.3 points; <i>p</i>=0.001). Treatment-related adverse events were mild, most of which decreased or resolved over the course of the study. <b>Limitations:</b> The small sample size and nonblinded nature of treatment intervention are potential limitations. <b>Conclusion:</b> Our results suggest daily 2013-MCN-333 could potentially be an effective, safe, and tolerable treatment for moderate-to-severe melasma.",2019,The Journal of clinical and aesthetic dermatology,hydroquinone,skin,unspecified,sunscreen,retinol | zinc oxide,sunscreen/UV filter study | skin/topical study | clinical/hospital study,,
